variant,regime,prob_bucket,n_signals,n_taken,trigger_pct,mean_ret_pct,median_ret_pct,win_pct,mean_net_pct,mean_mae_pct,mean_mfe_pct,mean_slippage_from_signal_pct,port_avg_basket_ret_pct,port_ann_sharpe,port_max_dd_pct,port_days
CONFLUENCE_2of4,bear_trend,,896,13,1.4508928571428572,9.051285616410924,7.692307692307687,84.61538461538461,8.701285616410924,-2.7236205233010193,11.54596927988516,3.457331779362032,8.701285616410921,5.8335351787369785,-10.506250000000017,13
CONFLUENCE_2of4,bull_trend,,3635,980,26.960110041265473,12.039766424381055,7.114823008849558,72.75510204081633,11.689766424381055,-4.057527737499032,16.423433093328903,4.491558681020593,15.680058999162622,1.0663706944841183,-81.93413870074629,516
CONFLUENCE_3of4,bear_trend,,896,0,0.0,,,,,,,,,,,0
CONFLUENCE_3of4,bull_trend,,3635,506,13.92022008253095,15.70003920051814,9.875264161641162,72.33201581027669,15.35003920051814,-4.211948711591112,20.32961543984656,3.620631943090078,19.40811861177172,1.2707801185518908,-53.97003024114575,323
DIST20H_BREAK,bear_trend,,896,19,2.1205357142857144,6.344380081525465,6.984969053934553,84.21052631578947,5.994380081525465,-3.645041021625032,9.836110182336832,3.3268458350036014,5.994380081525465,3.542751476732794,-25.48368983957221,19
DIST20H_BREAK,bull_trend,,3635,1475,40.577716643741404,8.528711675057329,1.7094017094017255,77.83050847457628,8.178711675057329,-3.323303379313295,12.179339763212376,3.250156394700945,10.840407005797823,0.8717650615354102,-63.033472910424884,725
DIST52WH_BREAK,bear_trend,,896,0,0.0,,,,,,,,,,,0
DIST52WH_BREAK,bull_trend,,3635,887,24.401650618982117,12.572333674213372,7.339449541284404,72.49154453213077,12.222333674213372,-4.187203863387485,16.968333239135685,4.635224125960268,16.363389913079292,1.0780919775930076,-80.91279602525134,484
DVOL_SURGE_30m,bear_trend,,896,0,0.0,,,,,,,,,,,0
DVOL_SURGE_30m,bull_trend,,3635,0,0.0,,,,,,,,,,,0
NAIVE_T1_OPEN,bear_trend,,896,896,100.0,4.088638461294757,2.628548617401849,66.07142857142857,3.7386384612947565,-3.784513336461638,9.098063414527875,0.6392847156823661,2.8733251608053356,2.4953131948699507,-52.67333147091365,379
NAIVE_T1_OPEN,bull_trend,,3635,3635,100.0,4.9913716827273165,0.3028009084027117,74.30536451169189,4.641371682727317,-2.994413224937037,8.517624342497594,1.3556488392682151,3.7297330838621625,1.5190107073455252,-45.734200961397164,1004
ORB_15_held_anyday_static,bear_trend,,896,606,67.63392857142857,3.6232695350889568,2.444527647969119,66.33663366336634,3.2732695350889567,-2.9346117692748708,9.35508678051459,3.0824205118164225,3.27311529378388,3.2957987243085762,-30.37440393162364,269
ORB_15_held_anyday_static,bull_trend,,3635,2228,61.292984869326,3.8625960447063403,0.12569490751483947,81.19389587073609,3.5125960447063402,-2.096583326670819,7.304164870235336,2.3158999566919576,3.997098126768679,0.653333488685484,-45.41524951675954,834
RANGE_EXPAND_15m,bear_trend,,896,54,6.026785714285714,5.361522162893663,6.804983747841886,66.66666666666666,5.011522162893663,-4.655999358387429,10.438277528852383,3.795100604547714,4.786363520569813,3.0344243176635457,-46.35657236713957,47
RANGE_EXPAND_15m,bull_trend,,3635,673,18.514442916093536,12.857995906923117,8.028169014084519,74.73997028231798,12.507995906923117,-3.7842272941335584,17.202917052195968,3.1521476986095314,15.424825140446718,1.1429431423005019,-58.87305938436387,416
